,ID,"Уставный капитал, млн RUB","Налоги, млн RUB","Страховые взносы в ПФР, млн RUB","Страховые взносы в ФОМС, млн RUB","Страховые взносы в ФСС, млн RUB","Основные средства , млн RUB","Чистые активы, млн RUB","Запасы, млн RUB","Выручка, млн RUB","Чистая прибыль (убыток), млн RUB","Оплата труда, млн RUB","Оплата труда, прогноз"
112,1-HEO76,1537.86,1065.0,193.0,45.0,1.0,3366.0,11272,2673.0,31057,4197.0,1121,2463
113,1-LDINN,66.97,361.0,130.0,31.0,3.0,252.0,1739,1041.0,2194,103.0,612,579
114,1-M5UEK,5.12,558.0,300.0,71.0,1.0,712.0,2383,219.0,6473,173.0,1813,1345
115,1-FLGUQB6,160.97,334.0,110.0,31.0,3.0,83.0,4,2662.0,1670,39.0,746,386
116,1-23F7L,14.46,334.0,110.0,31.0,3.0,3114.0,4177,685.0,15630,149.0,719,1916
117,1-CZ7D4,1.09,334.0,110.0,31.0,3.0,7900.0,8683,48.0,2689,502.0,564,1526
118,1-PMB21,666.95,246.0,92.0,21.0,1.0,359.0,848,117.0,2269,76.0,426,324
119,1-EJWZ5,1702.29,198.0,77.0,22.0,2.0,73.0,2663,60.0,1179,899.0,447,147
120,1-ROX7R,0.01,310.0,122.0,30.0,3.0,11.0,227,0.0,1116,19.0,525,428
121,1-AYH37AU,0.01,334.0,110.0,31.0,3.0,205.0,-1068,2855.0,10848,-500.0,2382,1080
122,1-5S92M,5258.43,334.0,110.0,31.0,3.0,1941.0,10906,6619.0,7633,580.0,778,888
123,1-O7SKG,10302.97,334.0,110.0,31.0,3.0,2224.0,16777,4398.0,8495,1643.0,1314,652
124,1-PA6AW,2996.91,334.0,110.0,31.0,3.0,3605.0,6916,8973.0,11235,767.0,3083,972
125,1-22AKYE4,7806.55,334.0,110.0,31.0,3.0,2782.0,11126,11088.0,3675,-179.0,1482,328
126,1-DMUYPAN,7174.52,334.0,110.0,31.0,3.0,3834.0,9039,11359.0,7504,627.0,3687,296
127,1-K0QSFG,190.02,277.0,37.0,27.0,1.0,63.0,787,8.0,1505,185.0,693,675
128,1-1ZEWJ9E,0.02,335.0,52.0,46.0,2.0,9.0,108,0.0,1759,40.0,1288,1142
129,1-57REN,778.95,334.0,110.0,31.0,3.0,2304.0,12818,5841.0,8519,2221.0,2557,1344
130,1-1NEQWOF,0.01,172.0,93.0,24.0,4.0,93.0,470,2333.0,2065,78.0,610,350
131,1-516KT,2589.61,164.0,123.0,32.0,6.0,253.0,3518,3904.0,1662,-1175.0,816,630
132,1-4DRN6SK,1202.47,334.0,110.0,31.0,3.0,1412.0,1750,177.0,2124,166.0,781,556
133,1-N2PDD,8620.07,334.0,110.0,31.0,3.0,10032.0,10136,2470.0,5034,-979.0,2664,1025
134,1-NTNXZ,1.32,230.0,76.0,17.0,3.0,186.0,134,60.0,983,38.0,465,242
135,1-M7OU7L,2.37,129.0,95.0,28.0,2.0,540.0,5,18.0,1417,1.0,453,462
136,1-1XZLTD,3.6,1116.0,124.0,31.0,2.0,5928.0,10054,117.0,7569,4311.0,779,1015
137,1-LE9VV6,1930.0,334.0,110.0,31.0,3.0,3853.0,5551,1581.0,2097,35.0,1105,864
138,1-1YYM1H7,10.0,334.0,110.0,31.0,3.0,8.0,782,894.0,9386,154.0,577,1057
139,1-MQ3H,0.03,334.0,110.0,31.0,3.0,2178.0,5386,9370.0,53152,33.0,5279,4268
140,1-23FCTH,493.47,230.0,143.0,35.0,9.0,1335.0,1034,393.0,6528,-873.0,928,1160
141,1-2DX7DL,0.17,286.0,90.0,22.0,1.0,230.0,619,6.0,1361,54.0,567,376
142,1-F05O67,0.36,377.0,126.0,38.0,2.0,63.0,1291,21.0,1872,143.0,744,740
143,1-4KJ8J,0.11,751.0,191.0,51.0,2.0,263.0,2852,92.0,6211,21794.0,1306,-4274
144,1-D8JL,1271.71,334.0,110.0,31.0,3.0,142568.0,55693,42688.0,438812,5140.0,27172,37286
145,1-DUKCY0,0.4,91.0,25.0,38.0,3.0,99.0,147,0.0,1537,109.0,1083,982
146,1-ECSX2ZD,0.01,395.0,139.0,4.0,12.0,540.0,20,2.0,910,4.0,592,-217
147,1-LE5R7H,0.05,204.0,79.0,18.0,2.0,909.0,892,438.0,2689,53.0,502,433
148,1-Q2VNKY,3.36,366.0,120.0,38.0,3.0,344.0,2099,500.0,1492,61.0,933,831
149,1-US7WBF,0.02,392.0,47.0,20.0,1.0,10645.0,1914,13.0,9295,1501.0,410,1142
150,1-101JQDKP,0.02,270.0,178.0,41.0,3.0,41.0,1392,0.0,2104,157.0,818,623
151,1-NRL6W,744.0,334.0,110.0,31.0,3.0,3962.0,1824,8187.0,3767,114.0,987,492
152,1-1GTTB,622.5,846.0,219.0,80.0,1.0,323.0,-724,34.0,2068,-1422.0,1500,1683
153,1-TKWP,0.35,302.0,111.0,27.0,1.0,327.0,546,51.0,1006,19.0,540,403
