,ID,"Уставный капитал, млн RUB","Налоги, млн RUB","Страховые взносы в ПФР, млн RUB","Страховые взносы в ФОМС, млн RUB","Страховые взносы в ФСС, млн RUB","Основные средства , млн RUB","Чистые активы, млн RUB","Запасы, млн RUB","Выручка, млн RUB","Чистая прибыль (убыток), млн RUB","Оплата труда, млн RUB","Оплата труда, прогноз"
285,1-TUHMTBF,0.01,307.0,77.0,19.0,10.0,236.0,101,599.0,1874,86.0,465,398
286,1-1NEPXQK,10.0,381.0,117.0,34.0,4.0,21.0,255,143.0,2679,248.0,869,618
287,1-MIKJ,35299.86,334.0,110.0,31.0,3.0,11385.0,-4243,14392.0,26221,-52138.0,7954,10396
288,1-6JSVQY0,0.1,536.0,23.0,5.0,1.0,16.0,-3869,298.0,3472,-2653.0,566,660
289,1-4QHRTF6,0.01,334.0,110.0,31.0,3.0,216.0,1217,59.0,11037,2137.0,1001,742
290,1-TP7ASZZ,0.01,270.0,62.0,17.0,4.0,873.0,411,1962.0,4375,186.0,457,479
291,1-906DE,30.0,138.0,69.0,15.0,0.0,40.0,585,835.0,2617,4.0,419,294
292,1-ROWA2,31.1,427.0,104.0,25.0,0.0,572.0,3136,1304.0,5366,1651.0,420,464
293,1-9M7WZ,1.5,334.0,110.0,31.0,3.0,2392.0,2969,21.0,2974,66.0,972,952
294,1-DFE8YH,821.48,208.0,106.0,32.0,2.0,3731.0,2289,787.0,3352,246.0,632,778
295,1-PU4F6,300.0,334.0,110.0,31.0,3.0,650.0,5276,451.0,2649,397.0,720,946
296,1-1NEH21M,0.02,64.0,29.0,23.0,4.0,64.0,84,0.0,990,7.0,748,566
297,1-2EJ60,2.09,334.0,110.0,31.0,3.0,1395.0,5919,4405.0,48505,2104.0,4126,3644
298,1-1LO8CP,35.0,605.0,164.0,36.0,3.0,18631.0,-8431,811.0,8706,-3658.0,908,1692
299,1-NWGZD,1.5,1363.0,483.0,150.0,40.0,1784.0,2837,2857.0,11699,612.0,3434,3400
300,1-159W0VB,5.9,533.0,54.0,16.0,3.0,26.0,647,244.0,4782,715.0,412,481
301,1-A59CY,50.0,528.0,188.0,58.0,5.0,7404.0,187,18629.0,4352,47.0,1332,595
302,1-EMNPI,1052.82,334.0,110.0,31.0,3.0,3415.0,4481,1370.0,22108,522.0,810,2140
303,1-1PRIKO9,0.1,156.0,103.0,28.0,3.0,174.0,22,911.0,7096,1.0,700,791
304,1-48NKD,1185.0,334.0,68.0,21.0,2.0,347.0,1476,560.0,10409,139.0,515,965
305,1-JBQPWDJ,0.7,132.0,99.0,22.0,2.0,243.0,3,1281.0,7541,3.0,440,653
306,1-YZVEMD,7.0,637.0,73.0,22.0,1.0,12.0,3384,0.0,3529,1049.0,776,650
307,1-8YUG0D,35834.27,1253.0,231.0,55.0,3.0,40356.0,33975,118.0,8557,292.0,956,904
308,1-3UO72I,0.02,433.0,153.0,35.0,3.0,547.0,53,168.0,3630,2.0,587,628
309,1-DRYDNO,38543.41,334.0,110.0,31.0,3.0,77364.0,97826,3334.0,87080,7099.0,3520,10920
310,1-D06V8,0.14,334.0,110.0,31.0,3.0,713.0,2698,1160.0,2746,206.0,1564,774
311,1-ZBP1S4,271.47,334.0,110.0,31.0,3.0,1149.0,2718,1213.0,11005,307.0,1063,1298
312,1-DUJKLC,1.1,280.0,88.0,20.0,1.0,141.0,70,170.0,5134,12.0,412,543
313,1-5C2DGD,120762.21,334.0,110.0,31.0,3.0,181125.0,262994,1560.0,39890,2884.0,4105,16550
314,1-L34G,143.1,334.0,110.0,31.0,3.0,21761.0,42320,625.0,110387,15934.0,2006,8540
315,1-AJREY,10.86,408.0,317.0,45.0,24.0,732.0,610,182.0,4850,7.0,1347,576
316,1-1NMFGUZ1,28.5,358.0,61.0,15.0,0.0,13149.0,-4480,45.0,2274,-1764.0,427,777
317,1-DRYDIK,46226.22,334.0,110.0,31.0,3.0,40367.0,58559,1532.0,30899,286.0,5221,3004
318,1-2TJHOPO,30.0,292.0,97.0,40.0,3.0,161.0,125,599.0,1296,-20.0,998,770
319,1-AX6C4O,5.5,475.0,151.0,47.0,1.0,74.0,126,8.0,1821,32.0,1197,797
320,1-1YQHEE,147.83,356.0,143.0,36.0,3.0,479.0,569,1609.0,6697,21.0,881,853
321,1-P443N,0.5,516.0,179.0,45.0,6.0,18.0,197,57.0,3555,58.0,775,809
322,1-4ENIG91,429.7,159.0,75.0,18.0,2.0,1862.0,3210,447.0,4266,104.0,422,726
323,1-1NEQCEZ,0.02,142.0,34.0,25.0,1.0,16.0,226,599.0,1003,68.0,559,553
324,1-5XU0D,21.27,334.0,110.0,31.0,3.0,2854.0,4292,650.0,13606,314.0,2877,1735
325,1-1YYKQHT,0.51,450.0,108.0,30.0,4.0,274.0,567,123.0,2036,33.0,708,614
326,1-D8A19,8.98,552.0,225.0,51.0,8.0,2911.0,2749,141.0,5629,821.0,1366,1078
327,1-1YYLBDH,0.0,149.0,77.0,25.0,1.0,97.0,181,70.0,1475,24.0,509,448
328,1-KIVSV,39.0,1773.0,420.0,206.0,11.0,1661.0,5232,171.0,11470,-15.0,8526,5354
329,1-17PFKZR,461.6,266.0,64.0,17.0,2.0,73.0,1138,74.0,1913,157.0,445,348
330,1-25XQL9,10395.81,334.0,110.0,31.0,3.0,19464.0,35145,21591.0,169380,6393.0,4146,12112
331,1-CF0FOZF,3.0,1609.0,239.0,142.0,5.0,3361.0,1297,273.0,8049,543.0,3550,3642
332,1-187L9A5,3248.27,342.0,170.0,36.0,15.0,4077.0,4219,2069.0,5480,22.0,653,800
333,1-M5Z2AR,5.12,334.0,110.0,31.0,3.0,2388.0,2817,203.0,3258,-81.0,1404,988
334,1-FCTAPGP,236.55,347.0,138.0,36.0,6.0,35.0,396,71.0,1653,31.0,873,571
335,1-L254,3974.82,334.0,110.0,31.0,3.0,1484.0,16777,2288.0,57245,1906.0,4210,4879
336,1-A50EF9,854.26,334.0,110.0,31.0,3.0,2025.0,3311,807.0,6067,1673.0,1299,624
337,1-D8CQJ,928.98,334.0,110.0,31.0,3.0,405.0,1798,80.0,3442,220.0,1639,647
338,1-A59IA,0.0,1239.0,165.0,49.0,0.0,15.0,438,4.0,4852,1408.0,937,803
339,1-46RMOE,0.02,180.0,91.0,25.0,4.0,39.0,700,260.0,1229,49.0,534,443
340,1-212TPH,3289.98,334.0,110.0,31.0,3.0,2299.0,7453,1855.0,13685,1095.0,1863,1329
341,1-NXBN8,1313.02,143.0,100.0,26.0,0.0,661.0,1347,279.0,3958,34.0,724,484
342,1-E4PQJI8,1.0,319.0,83.0,20.0,10.0,50.0,287,13.0,1227,273.0,633,345
343,1-AK0BP,100.02,335.0,128.0,32.0,5.0,336.0,822,3697.0,3673,18.0,803,553
344,1-P3P8Z,37.13,255.0,74.0,21.0,2.0,1195.0,1826,231.0,2614,-9.0,470,650
345,1-BX4974R,1.0,507.0,173.0,46.0,9.0,65.0,271,2055.0,7934,236.0,1016,1068
346,1-D8TN,10.0,334.0,110.0,31.0,3.0,54.0,576,687.0,8713,229.0,1510,982
347,1-AR2SZT,30.0,609.0,173.0,39.0,6.0,259.0,807,678.0,4032,429.0,1079,666
348,1-AR2WVH,0.5,135.0,71.0,18.0,9.0,29.0,-238,211.0,811,-460.0,485,401
349,1-KF9FH1X,3521.12,556.0,292.0,69.0,0.0,1141.0,3633,2004.0,23683,36.0,1218,2132
350,1-F05JG5,13.22,278.0,64.0,16.0,3.0,221.0,2086,583.0,2420,333.0,429,455
351,1-HB9J,2100.2,334.0,110.0,31.0,3.0,14720.0,36566,8734.0,15270,4374.0,920,3563
352,1-RNZDV,9444.8,690.0,73.0,21.0,1.0,1070.0,13012,4358.0,6953,284.0,441,559
353,1-PAC1R,7.43,1486.0,127.0,31.0,2.0,2647.0,7099,1839.0,8347,1189.0,779,1480
